Time difference
3
7
1
0
6
1
11
0
8
6
18
12
11
3
6
0
0
17
11
0
10
1
8
1
0
3
17
10
16
4
4
6
1
3
0
3
0
0
25
3
7
4
22
3
8
14
21
39
5
5
8
11
3
4
10
5
8
3
14
2
5
8
4
1
7
4
14
4
3
22
9
32
4
18
2
1
3
4
3
3
6
17
6
3
14
7
6
9
0
8
11
0
12
3
4
1
5
32
14
8
5
1
3
15
3
0
4
5
21
14
4
0
16
3
29
1
1
1
0
4
21
5
0
20
10
13
5
4
22
4
4
2
4
2
3
18
1
3
8
9
9
17
1
4
16
0
14
25
11
9
1
1
4
1
16
8
4
8
25
4
11
4
14
11
1
0
0
1
4
2
3
9
6
9
3
4
3
5
10
4
0
6
1
8
1
0
5
4
7
3
3
0
0
25
6
3
8
5
6
21
1
39
6
13
10
21
3
22
15
3
7
0
4
2
3
0
8
4
6
10
6
2
0
8
0
15
4
1
4
3
1
0
17
2
4
8
6
1
11
4
9
14
1
3
0
20
0
4
16
1
6
3
1
4
0
3
4
1
1
5
3
0
6
9
3
14
3
4
3
1
4
1
0
3
2
1
11
3
1
3
1
17
2
8
0
0
11
1
5
0
5
4
0
12
5
3
6
0
0
4
4
16
3
4
5
4
1
5
8
1
2
6
0
8
4
8
2
4
12
3
3
3
4
4
7
0
9
3
10
3
4
3
24
8
9
3
14
1
15
3
0
1
6
5
0
6
5
4
3
3
3
22
9
20
16
18
4
0
22
0
19
4
4
7
12
4
1
3
0
3
6
5
22
23
8
5
6
1
4
8
8
14
4
5
3
25
8
0
3
9
39
5
4
8
2
4
3
4
5
11
